state,time,accident,year,pop,rgastax,permale,unemp,txmsban,treated
9,27,18,2009,3518288,.0025762895,.48820221,7.8000002,0,1
9,28,20,2009,3518288,.0025698741,.48820221,8,0,1
9,29,17,2009,3518288,.0025624719,.48820221,8.1999998,0,1
9,30,18,2009,3518288,.002540648,.48820221,8.3999996,0,1
9,31,16,2009,3518288,.0025446827,.48820221,8.5,0,1
9,32,18,2009,3518288,.0025389881,.48820221,8.6000004,0,1
9,33,22,2009,3518288,.0025374012,.48820221,8.6999998,0,1
9,34,22,2009,3518288,.0025349597,.48820221,8.8000002,0,1
9,35,20,2009,3518288,.0025331669,.48820221,8.8999996,0,1
9,36,16,2009,3518288,.0025376361,.48820221,9,0,1
9,37,29,2010,3577073,.0027828158,.486,9.1000004,0,1
9,38,12,2010,3577073,.0027821225,.486,9.1999998,0,1
9,39,18,2010,3577073,.002770745,.486,9.1999998,0,1
9,40,26,2010,3577073,.0027659407,.486,9.1999998,0,1
9,41,28,2010,3577073,.0027637985,.486,9.1000004,0,1
9,42,33,2010,3577073,.0027664993,.486,9.1000004,0,1
9,43,27,2010,3577073,.0027659154,.486,9.1000004,0,1
9,44,30,2010,3577073,.0027621018,.486,9.1000004,0,1
9,45,25,2010,3577073,.002760496,.486,9.1000004,0,1
9,46,29,2010,3577073,.0027570629,.486,9.1000004,1,1
9,47,17,2010,3577073,.0027559036,.486,9.1000004,1,1
9,48,24,2010,3577073,.002751176,.486,9,1,1
10,1,11,2007,864764,.0020452929,.4852595,3.4000001,0,0
10,2,15,2007,864764,.002034408,.4852595,3.4000001,0,0
10,3,9,2007,864764,.0020160505,.4852595,3.4000001,0,0
10,4,4,2007,864764,.0020030383,.4852595,3.5,0,0
10,5,9,2007,864764,.0019908727,.4852595,3.5,0,0
10,6,5,2007,864764,.0019870219,.4852595,3.5,0,0
10,7,12,2007,864764,.0019875276,.4852595,3.5,0,0
10,8,6,2007,864764,.0019911791,.4852595,3.5,0,0
10,9,7,2007,864764,.0019857066,.4852595,3.5999999,0,0
10,10,11,2007,864764,.0019814679,.4852595,3.5999999,0,0
10,11,11,2007,864764,.0019697684,.4852595,3.7,0,0
10,12,5,2007,864764,.0019710907,.4852595,3.9000001,0,0
10,13,8,2008,873092,.0019613416,.48562503,3.9000001,0,0
10,14,5,2008,873092,.0019556624,.48562503,3.9000001,0,0
10,15,9,2008,873092,.0019388559,.48562503,4,0,0
10,16,7,2008,873092,.001927168,.48562503,4.0999999,0,0
10,17,9,2008,873092,.001911075,.48562503,4.4000001,0,0
10,18,13,2008,873092,.0018920093,.48562503,4.6999998,0,0
10,19,6,2008,873092,.0018821262,.48562503,5,0,0
10,20,16,2008,873092,.001889669,.48562503,5.3000002,0,0
10,21,10,2008,873092,.0018922859,.48562503,5.5,0,0
10,22,7,2008,873092,.0019115957,.48562503,5.9000001,0,0
10,23,8,2008,873092,.0019489231,.48562503,6.1999998,0,0
10,24,7,2008,873092,.0019692904,.48562503,6.5999999,0,0
10,25,9,2009,885122,.0019607565,.48542687,7,0,0
10,26,6,2009,885122,.0019510541,.48542687,7.4000001,0,0
